# data_column_name,cf_standard_name,imos_vocabulary_name,unit_name,unit_short_name,uv.definition
# AIRT,air_temperature,Temperature of the atmosphere,Degrees Celsius,degC                                                                                                          ,
# ATMP,air_pressure,Pressure (measured variable) exerted by the atmosphere,Millibars,mbar                                                                                                          ,
# CNDC_2,sea_water_electrical_conductivity,Electrical conductivity of the water body,Siemens per metre,S m-1                                                                                                         ,
# CNDC_3,sea_water_electrical_conductivity,Electrical conductivity of the water body,Siemens per metre,S m-1                                                                                                         ,
# CNDC,sea_water_electrical_conductivity,Electrical conductivity of the water body,Siemens per metre,S m-1                                                                                                         ,
# DEWT,dew_point_temperature,Dew point temperature of the atmosphere,Degrees Celsius,degC                                                                                                          ,
# GPS_HEIGHT,,,Metres,m                                                                                                             ,
# LATITUDE,latitude,Latitude north,Degrees,deg                                                                                                           ,
# LONGITUDE,longitude,Longitude east,Degrees,deg                                                                                                           ,
# PL_CRS,platform_course,Direction of motion (over ground) of measurement platform,Degrees True,deg T                                                                                                         ,
# PL_SPD,platform_speed_wrt_ground,Speed (over ground) of measurement platform,Metres per second,m s-1                                                                                                         ,
# PL_WDIR,,Wind direction (relative to moving platform) in the atmosphere,Degrees True,deg T                                                                                                         ,
# PL_WSPD,,Wind speed (relative to moving platform) in the atmosphere,Metres per second,m s-1                                                                                                         ,
# PSAL_2,sea_water_salinity,Practical salinity of the water body,Practical Salinity Unit,PSU                                                                                                           ,
# PSAL_3,sea_water_salinity,Practical salinity of the water body,Practical Salinity Unit,PSU                                                                                                           ,
# PSAL,sea_water_salinity,Practical salinity of the water body,Practical Salinity Unit,PSU                                                                                                           ,
# RAD_PAR,surface_downwelling_photosynthetic_radiative_flux_in_air,Downwelling vector irradiance as photons (PAR wavelengths) in the atmosphere,Micromoles per second per square metre,umol s-1 m-2                                                                                                  ,
# RELH,relative_humidity,Relative humidity of the atmosphere,Percent,%                                                                                                             ,
# TEMP_2,sea_water_temperature,Temperature of the water body,Degrees Celsius,degC                                                                                                          ,
# TEMP_3,sea_water_temperature,Temperature of the water body,Degrees Celsius,degC                                                                                                          ,
# TEMP_4,sea_water_temperature,Temperature of the water body,Degrees Celsius,degC                                                                                                          ,
# TEMP,sea_water_temperature,Temperature of the water body,Degrees Celsius,degC                                                                                                          ,
# WDIR,wind_from_direction,Wind from direction in the atmosphere,Degrees True,deg T                                                                                                         ,
# WETT,wet_bulb_temperature,Wet bulb temperature of the atmosphere,Degrees Celsius,degC                                                                                                          ,
# WSPD,wind_speed,Wind speed in the atmosphere,Metres per second,m s-1                                                                                                         ,
#
# qc_scheme_short_name,flag_value,flag_meaning,flag_description
# BOM,B,Value out of bounds ,
# BOM,C,Time not sequential ,
# BOM,D,Failed T > Tw > Td test (see Verein 2008) ,This test is not realised yet
# BOM,E,Failed resultant wind recomputation test ,This test gets applied to SST data product
# BOM,F,Platform velocity unrealistic ,
# BOM,G,Value exceeds (climatological) threshold ,
# BOM,H,Discontinuity in data ,
# BOM,J,Erroneous value ,
# BOM,K,Suspect value (visual) ,
# BOM,L,Value located over land ,
# BOM,M,Instrument malfunction ,
# BOM,Q,Pre-flagged as suspect ,
# BOM,S,Spike in data (visual) ,
# BOM,T,Time duplicate ,
# BOM,U,Suspect data (statistical) ,
# BOM,V,Spike in data (statistical) ,
# BOM,X,Step in data (statistical) ,
# BOM,Z,Value passes all test ,

FID,trajectory_id,measurement_id,platform_code,vessel_name,voyage_number,TIME,TIME_quality_control,LATITUDE,LATITUDE_quality_control,LONGITUDE,LONGITUDE_quality_control,AIRT,AIRT_quality_control,ATMP,ATMP_quality_control,CNDC,CNDC_quality_control,CNDC_2,CNDC_2_quality_control,CNDC_3,CNDC_3_quality_control,DEWT,DEWT_quality_control,GPS_HEIGHT,GPS_HEIGHT_quality_control,PL_CRS,PL_CRS_quality_control,PL_SPD,PL_SPD_quality_control,PL_WDIR,PL_WDIR_quality_control,PL_WSPD,PL_WSPD_quality_control,PSAL,PSAL_quality_control,PSAL_2,PSAL_2_quality_control,PSAL_3,PSAL_3_quality_control,RELH,RELH_quality_control,TEMP,TEMP_quality_control,TEMP_2,TEMP_2_quality_control,TEMP_3,TEMP_3_quality_control,TEMP_4,TEMP_4_quality_control,WDIR,WDIR_quality_control,WETT,WETT_quality_control,WSPD,WSPD_quality_control,AIRT_b,ATMP_b,CNDC_b,DEWT_b,PL_CRS_b,PL_SPD_b,PL_WDIR_b,PL_WSPD_b,PSAL_b,RELH_b,TEMP_b,WDIR_b,WETT_b,WSPD_b,geom
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_7613,7,144,9HA2479,Pacific Sun,undefined,2010-12-18T18:00:00Z,Z,-33.8,Z,151.5,Z,19.2,Z,1004.4,Z,,,,,,,12,Z,,,225,Z,9.26,Z,,,,,,,,,,,,,20.2,Z,,,,,,,100,Z,14.9,Z,3.6011,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.5 -33.79999923706055)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_7614,7,145,9HA2479,Pacific Sun,undefined,2010-12-18T19:00:00Z,Z,-33.8,Z,151.3,Z,19,Z,1004.1,Z,,,,,,,12.9,Z,,,225,Z,6.6878,Z,,,,,,,,,,,,,19.5,Z,,,,,,,70,Z,15.3,Z,3.6011,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.3000030517578 -33.79999923706055)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_7615,8,155,9HA2479,Pacific Sun,undefined,2010-12-19T06:00:00Z,Z,-33.8,Z,151.3,Z,23.9,Z,993.6,Z,,,,,,,10.8,Z,,,90,Z,6.6878,Z,,,,,,,,,,,,,19.7,Z,,,,,,,350,Z,16,Z,15.9478,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.3000030517578 -33.79999923706055)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_7616,8,156,9HA2479,Pacific Sun,undefined,2010-12-19T07:00:00Z,Z,-33.7,Z,151.6,Z,22,Z,994.5,Z,,,,,,,14.6,Z,,,45,Z,9.26,Z,,,,,,,,,,,,,20.7,Z,,,,,,,340,Z,17.3,Z,18.0056,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.60000610351562 -33.70000076293945)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_7617,17,372,9HA2479,Pacific Sun,undefined,2010-12-28T18:00:00Z,Z,-33.8,Z,151.5,Z,19.1,Z,1017.6,Z,,,,,,,15.4,Z,,,225,Z,9.26,Z,,,,,,,,,,,,,20.1,Z,,,,,,,300,Z,16.8,Z,3.0867,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.5 -33.79999923706055)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_7618,17,373,9HA2479,Pacific Sun,undefined,2010-12-28T19:00:00Z,Z,-33.8,Z,151.3,Z,17.7,Z,1018.4,Z,,,,,,,12.7,Z,,,225,Z,6.6878,Z,,,,,,,,,,,,,20,Z,,,,,,,270,Z,14.7,Z,3.0867,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.3000030517578 -33.79999923706055)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_7619,18,384,9HA2479,Pacific Sun,undefined,2010-12-29T07:00:00Z,Z,-33.7,Z,151.6,Z,21.4,Z,1014.4,Z,,,,,,,16.4,Z,,,45,Z,9.26,Z,,,,,,,,,,,,,20.6,Z,,,,,,,40,Z,18.2,Z,11.8322,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.60000610351562 -33.70000076293945)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_761a,29,643,9HA2479,Pacific Sun,undefined,2011-01-09T18:00:00Z,Z,-33.8,Z,151.5,Z,23.1,Z,1015.7,Z,,,,,,,20.4,Z,,,225,Z,9.26,Z,,,,,,,,,,,,,23,Z,,,,,,,70,Z,21.2,Z,9.7744,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.5 -33.79999923706055)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_761b,29,644,9HA2479,Pacific Sun,undefined,2011-01-09T19:00:00Z,Z,-33.8,Z,151.3,Z,22.8,Z,1016.4,Z,,,,,,,20.3,Z,,,225,Z,4.1156,Z,,,,,,,,,,,,,22.7,Z,,,,,,,90,Z,21,Z,6.6878,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.3000030517578 -33.79999923706055)
soop_sst_nrt_trajectory_data.fid--1f707f45_1989dc45aa9_761c,30,655,9HA2479,Pacific Sun,undefined,2011-01-10T07:00:00Z,Z,-33.7,Z,151.5,Z,23.2,Z,1014,Z,,,,,,,19.2,Z,,,45,Z,9.26,Z,,,,,,,,,,,,,22.9,Z,,,,,,,90,Z,20.5,Z,11.8322,Z,true,true,false,true,true,true,false,false,false,false,true,true,true,true,POINT (151.5 -33.70000076293945)
