"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_24224",-1.45180314224257,0.0178486246633674,4.89406399071856,8.7953967030313e-05
"Cvel_16720",-1.19370892957948,0.00472628141309507,4.46343610582055,8.27044130755255e-34
"Cvel_6195",-3.36003052770585,2.23491014941029e-05,4.04896929022401,0.000281261731904094
"Cvel_27502",-2.05311686217554,0.0249280905631541,4.00283133151117,2.49460518722878e-05
"Cvel_1088",-1.63946840754821,0.0289520557042901,3.79191742413804,2.99530515698811e-06
"Cvel_23475",-1.57521664085117,0.0323833183175715,3.51483879958843,0.000785071608034533
"Cvel_13931",-3.10313589933783,5.79265836596515e-05,3.5022328455207,5.53308160065615e-12
"Cvel_8990",-1.46132038674721,0.00731871117845034,3.39140306993922,5.52934168783844e-08
"Cvel_21031",-1.15707403615863,0.0124320514144358,3.34965219071568,3.52488265153624e-07
"Cvel_7023",-1.63817029790245,0.0363318170675572,3.23478832358988,0.0216121579478877
"Cvel_23526",-1.39942572014341,0.0153911502784797,3.10785235580779,1.63590230695695e-19
"Cvel_3302",-2.94891759091667,1.35643189569192e-05,1.81540148124206,0.000883577623324446
"Cvel_20862",-1.47863740973731,0.0280470233206858,2.8648023873467,7.62482882752768e-05
"Cvel_5408",-2.84313838455879,0.0209148536918277,1.81828222122655,0.00620632986850972
"Cvel_24196",-2.83504051430775,0.0142886461354512,1.67971500582979,0.041543744660461
"Cvel_24197",-2.83194680067162,0.0048871426930906,2.6179576011023,7.12245129608953e-05
"Cvel_20867",-2.02279184201612,0.00272812765005023,2.77947119298164,0.00173571532129577
"Cvel_1620",-1.98750768801825,0.00840968835466192,2.76867584641179,1.59314944705814e-06
"Cvel_56",-2.69709722796615,0.000581283707506882,1.39941762188132,0.0130885071735712
"Cvel_20485",-1.76805601585695,0.0152445542373825,2.69534612721643,0.00416249748188036
"Cvel_21179",-1.32792539701418,0.040369172051894,2.65848971502388,0.016383221340296
