"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_2053",4.8134186748992,4.64587248663566e-48,14.4812277263816,1.86881551945803e-32
"Cvel_3968",11.2275386863826,5.69676966836887e-46,14.0095780255725,1.81571810808317e-29
"Cvel_21395",9.34429340812513,3.33283712507974e-06,13.7722643170218,2.82323823628707e-29
"Cvel_2303",9.90877572326341,1.87642662621416e-129,13.6582981237246,1.41307282562731e-22
"Cvel_8433",10.1719626179458,1.55395368600636e-54,13.5126596465927,4.58167040790664e-28
"Cvel_6326",8.53878320060539,4.75521287829142e-43,13.4330348099473,7.88910596516133e-28
"Cvel_27651",9.79858228983677,3.09124900138743e-24,13.3548271571747,8.21277079734317e-12
"Cvel_11232",9.26329572457681,1.72298907294186e-09,13.3228751240857,3.8215594279551e-35
"Cvel_20799",12.5840051175656,1.99192515564941e-24,13.2545757359177,2.97198423868483e-25
"Cvel_5122",5.43881646511905,2.08491087133022e-11,13.2283533602802,3.58004802502096e-27
"Cvel_23706",11.0809270270756,1.38344870967052e-34,13.1915400938837,2.12331567814748e-25
"Cvel_23537",7.64883623983732,2.56342369977137e-38,13.1877222067331,1.34438683676821e-26
"Cvel_4029",5.48104284620922,1.05686420036462e-11,13.1861368103109,1.35575880193226e-25
"Cvel_14865",6.22400517149867,2.68036775773199e-25,13.1337288890321,5.06828610979197e-24
"Cvel_12111",6.32572583603679,0.00018830592149281,13.0939701012204,1.0483175235329e-25
"Cvel_20110",7.36732956653316,5.42438845839189e-37,13.0322904114128,4.63082512538586e-20
"Cvel_18752",6.89006877101502,8.44468813673967e-42,12.8684111257378,1.23868973502411e-25
"Cvel_10356",5.83091514257503,0.000571479424366973,12.8324631701161,1.91735272342735e-25
"Cvel_25499",7.60851473383911,8.15713053356233e-52,12.7773082737887,3.78689734229824e-23
"Cvel_18328",7.173275290072,3.38064616322738e-30,12.7553403232438,1.63293765803707e-22
"Cvel_27372",2.97862726429932,0.00112086415548151,12.706381513384,5.41825814923777e-25
"Cvel_16439",8.48603808346515,1.55377970901242e-06,12.6436059649778,2.39299455281325e-22
"Cvel_25407",3.57382348732839,1.00198425336326e-08,12.5950115200379,2.9731556557413e-20
"Cvel_12095",8.22182845050803,1.17756203378409e-28,12.5878102068408,4.77143478416835e-20
"Cvel_4298",5.94042649849597,2.80458458695331e-17,12.5682876276162,2.50338216095325e-22
"Cvel_21257",5.34234127058791,6.74393254596141e-07,12.5505951106038,7.40561160050426e-32
"Cvel_28083",5.33956443056865,1.30892620114141e-26,12.5330746257163,3.39470311120074e-22
"Cvel_157",6.67633089172624,4.45306465618229e-21,12.5219843571511,2.16412859199354e-23
"Cvel_14864",6.0320245048363,2.49302625330284e-16,12.5017805011826,2.37652537412035e-21
"Cvel_11585",6.54257849311246,1.18394114611775e-38,12.4992252117425,7.03357531648902e-19
"Cvel_24030",8.99770621970756,1.30190859905842e-42,12.4472664956775,1.03247649989638e-22
"Cvel_25358",11.9441037563076,7.54845680242765e-21,12.4328757961239,1.49657015561264e-17
"Cvel_27637",9.58106159880091,6.98575613463714e-32,12.4067365206615,9.52930525759905e-22
"Cvel_7926",6.98482005822735,9.01320857108974e-16,12.3849826558841,2.3184082221611e-20
"Cvel_14513",5.15801488107803,1.27521023842123e-05,12.3440006282503,3.08467451475381e-15
"Cvel_18486",4.61522549515338,2.57988324215114e-08,12.318711297618,2.64441839832117e-17
"Cvel_12630",8.0426441289771,4.60941654762611e-35,12.2719721200409,6.29672653014616e-23
"Cvel_27531",9.00617383968089,4.28889315500323e-49,12.2279185568997,2.92369738107293e-22
"Cvel_19636",8.10623090474924,6.40693469927176e-101,12.2150858055299,8.19172827596377e-23
"Cvel_22976",7.79445652590128,1.09632459333337e-46,12.2130575401777,9.9046864364404e-19
"Cvel_10527",11.035045677552,5.91017781154071e-23,12.2073062332539,5.4042524322596e-23
"Cvel_9632",4.77401185891687,3.88066826162229e-05,12.2067508329914,1.59867881874178e-16
"Cvel_24286",7.18666118541389,2.95206027965087e-32,12.206553867479,1.40443330044279e-17
"Cvel_9541",6.73580638858718,3.54231574431621e-15,12.1963448613187,9.50704692072438e-20
"Cvel_19764",5.62224689562758,6.29885840024473e-19,12.1856571248505,3.06107794825996e-22
"Cvel_16264",4.74680361263253,4.1322194819171e-07,12.1733661301244,1.79221298325843e-22
"Cvel_16447",7.5320994867236,1.45086212098139e-30,12.1307341849896,2.9548819137887e-18
"Cvel_6260",4.17448610963125,3.09800347624624e-07,12.1200701415404,3.1967502928219e-22
"Cvel_5010",5.11426008599896,8.38098031843722e-13,12.1136958220705,7.56299120591468e-19
"Cvel_7567",12.0936783392114,3.80884766363077e-22,8.41366901008369,2.17667268771214e-45
"Cvel_479",5.99689803192378,5.10050599023447e-12,12.0645336812087,2.70773466037577e-18
"Cvel_3329",5.04964523663525,5.4597630616843e-11,12.06181980981,2.1643086086788e-22
"Cvel_2487",4.59339408490929,2.63248181382091e-24,12.0579974678611,7.82087366747913e-20
"Cvel_3870",7.81354417305576,1.75537849787977e-29,12.0535433422404,9.36873549880687e-22
"Cvel_12131",6.43217158852589,1.01254398215952e-15,12.0211810268246,3.61215198849582e-22
"Cvel_3030",7.30302054611877,3.97300753785657e-44,12.0099371706896,2.56448128394154e-21
"Cvel_5697",2.56895286411429,3.98231461208721e-20,11.9989305933565,3.41408736064147e-22
"Cvel_16643",10.4693157253491,1.32538143277573e-21,11.9934667812397,5.1369210449158e-22
"Cvel_4977",10.0208231211388,8.55755002366131e-15,11.9903718858259,1.19880964395417e-21
"Cvel_9059",7.12348850129831,2.31706591638946e-28,11.97955876082,4.71607685762871e-17
"Cvel_2401",6.48248047658514,2.65739506956025e-18,11.9754100144863,2.22743644880894e-25
"Cvel_34666",11.3697911797771,6.64417580587962e-19,11.9752195448216,1.93725338198243e-16
"Cvel_3774",4.83756811663697,4.83762919536294e-15,11.9539689977519,4.73147398102476e-15
"Cvel_11747",8.30707122916995,2.74745014337296e-20,11.9337511341279,4.72649914350916e-22
"Cvel_807",6.93104708548978,1.63351281238611e-33,11.9327600043073,2.27629087713462e-16
"Cvel_23744",6.3442403283036,0.000133267436901045,11.9065937100709,1.81085473461015e-15
"Cvel_28515",9.95353054270211,6.84865641129701e-50,11.9015427851179,5.70640778259884e-34
"Cvel_25036",3.98273999439155,6.56040047371838e-16,11.8875824640237,1.9347544604313e-19
"Cvel_16521",5.22189703033026,7.75604801129934e-28,11.8871617109643,2.11354182076616e-21
"Cvel_4203",5.12663194035628,4.80600536551964e-09,11.8857179618118,6.88030962479454e-22
"Cvel_10895",3.64386701129135,9.62953984686881e-15,11.8765202671443,7.34101602903475e-21
"Cvel_14336",4.23871586986297,2.02588532521286e-18,11.8699560419091,7.99529003517978e-17
"Cvel_15178",4.03273968457829,3.39919110750376e-05,11.8589704344327,3.67721301065934e-20
"Cvel_24237",11.8580408972794,3.27486795853315e-21,11.0855893577149,1.26836376554922e-18
"Cvel_27841",5.03349386083746,0.00049365538923279,11.8389360737701,1.95011249562133e-20
"Cvel_26003",10.9291098654126,2.70123445003983e-17,11.8236645513994,2.50974028159476e-21
"Cvel_10395",8.33033895205869,1.668664398136e-36,11.821697397795,2.48305855947424e-20
"Cvel_23773",3.64944798754903,6.53775209404487e-07,11.820498869287,2.14650567716243e-21
"Cvel_10190",11.8078150530792,2.07152897594653e-18,6.75954702204792,3.65225071165859e-11
"Cvel_6459",4.66459112690715,7.05029586884844e-05,11.8076163558136,6.03363325094995e-20
"Cvel_31115",5.56601698560152,8.27718883247896e-11,11.7634487635547,4.94795672226567e-19
"Cvel_24407",6.92000595124688,4.02629834948603e-22,11.7585349718476,4.73258517307975e-19
"Cvel_23813",3.37086707126353,3.28500911572063e-06,11.7525329347893,4.2586510320641e-14
"Cvel_33851",6.27820033756783,9.01766741931578e-23,11.736551766167,1.88613223614576e-19
"Cvel_7428",6.61542237070098,1.34100998466143e-28,11.7315711511029,1.79265288335887e-19
"Cvel_13906",7.02320963542055,1.98381760712803e-13,11.7189993386757,1.8798015639684e-18
"Cvel_13811",7.43722452484667,1.09505089051376e-153,11.7102982436276,2.07672126885589e-26
"Cvel_21359",5.76858061855067,4.45046808400705e-09,11.6966664601484,2.6197934673115e-20
"Cvel_9121",6.62331796083111,0.00513663399822606,11.6863599621582,1.93279958437296e-21
"Cvel_17482",4.29180007735155,4.55446588607156e-09,11.6858291663929,1.33229464838047e-23
"Cvel_13814",4.9204078996187,3.29148182785053e-12,11.6788018527789,9.54213051233217e-19
"Cvel_18181",11.6616432455319,2.65713984907328e-20,11.609497376715,1.62343542188738e-15
"Cvel_25163",9.35936648482107,6.38642412098476e-17,11.6544201753018,1.0308311308856e-20
"Cvel_18408",11.6477290084637,1.50932630174896e-19,7.50326132548184,2.09609782415067e-16
"Cvel_15275",6.66157762224587,7.11668237613717e-10,11.6328423156278,6.60898172737932e-14
"Cvel_35023",3.00770761870725,1.0770975855231e-21,11.6252269760213,2.18128835685348e-20
"Cvel_29276",6.23661939133472,4.82483817157929e-06,11.6107171942104,1.20027046955918e-13
"Cvel_12610",9.391168942235,9.03235996963755e-13,11.5980756293737,1.40978062388538e-20
"Cvel_2605",6.83511486779321,1.00212443596475e-32,11.5917308484899,3.81709007120093e-25
"Cvel_26120",7.99710784179178,1.19361386914091e-20,11.5860334033699,1.60519765749025e-19
"Cvel_25357",9.01955548339373,4.14338968514783e-14,11.577707101097,3.73239144254923e-14
"Cvel_2714",4.37647076404904,3.91670490945933e-07,11.5724624980135,2.567078736699e-16
"Cvel_21137",7.2418476791562,1.61674717231798e-27,11.5596150690476,1.88768980520533e-20
"Cvel_14176",5.33111237380473,8.5401678314116e-10,11.555823888646,2.64568714218477e-20
"Cvel_7923",11.2235979242445,1.3202630447704e-18,11.5547296688449,2.18778281573681e-17
"Cvel_7552",4.19191888577653,3.02058408687866e-05,11.5428991645113,3.73840661751863e-20
"Cvel_24843",8.77709027910291,6.63136213758443e-23,11.5398142041247,4.28421047052354e-18
"Cvel_11052",8.85270009657686,1.68722295692453e-66,11.5383742245072,6.24067277975508e-27
"Cvel_6512",7.10918693824477,2.18142262631518e-23,11.5216911557759,9.47047434449036e-17
"Cvel_14073",6.05483396528103,2.55553225718887e-10,11.5207484905602,1.40322228769345e-19
"Cvel_34310",6.19019206450313,1.07300384016928e-18,11.5120321768668,5.32541046723309e-18
"Cvel_18959",4.33492851156836,7.68090544529863e-08,11.5092944772582,5.00705895310603e-20
"Cvel_24066",7.2178665241483,8.94352765453462e-27,11.5048363921485,4.9261001379078e-19
"Cvel_21779",5.026221686362,1.50803415236494e-09,11.5028059405749,2.75167167277729e-20
"Cvel_7045",4.30189947321159,4.67690768546077e-10,11.498556917739,5.09118578001905e-19
"Cvel_16333",4.04798035294131,6.0954257734559e-10,11.4751496457631,1.58061029459588e-18
"Cvel_35146",5.14476583773462,3.39967711450484e-13,11.4505113854257,1.57719363798738e-19
"Cvel_1204",6.69867211926984,3.32450749835001e-54,11.4413760257,1.69802219847174e-19
"Cvel_21520",5.11911588452547,3.82075222038483e-15,11.4330864190452,3.89786117287718e-14
"Cvel_10255",8.19690865796434,3.35459617600911e-26,11.4314335086484,4.2499884751227e-19
"Cvel_15479",7.81860818432525,6.01144070974197e-28,11.4253629611066,2.21222205586705e-19
"Cvel_8617",11.2531893297342,2.23547980147725e-18,11.421716547307,9.38677747676902e-15
"Cvel_26024",9.12341570673483,2.10268643608127e-37,11.4121306053124,4.39900486954696e-17
"Cvel_5168",5.89216357933619,3.52880915837164e-14,11.4116408565545,6.6166578735803e-20
"Cvel_4508",7.67753811678107,4.48267996131465e-20,11.388903472781,4.32202024339451e-20
"Cvel_19591",3.69348106788759,5.99592289776034e-05,11.3844878489165,4.88581710695747e-20
"Cvel_25967",11.3789310059259,5.55301381402949e-18,10.4615369723641,2.01630770631444e-15
"Cvel_25226",5.15725240158619,2.52643286342814e-08,11.366879701285,2.02938935725111e-14
"Cvel_4441",7.27990480517906,1.94404923068396e-23,11.3545420083117,8.58657941542951e-16
"Cvel_3996",11.0681675843151,8.70180485716534e-18,11.3501236595346,5.00088432542621e-19
